split,filename,writer,page_id,language,same_text,candidate_count,otsu_threshold,eligible_for_fixed_k
selection,0087_1.jpg,87,1,Arabic,0,125,0.023371241055428982,True
selection,0087_2.jpg,87,2,Arabic,1,81,0.02388009801506996,True
selection,0087_3.jpg,87,3,English,0,139,0.031067701056599617,True
selection,0087_4.jpg,87,4,English,1,127,0.02947265189141035,True
selection,0089_1.jpg,89,1,Arabic,0,147,0.023301241919398308,True
selection,0089_2.jpg,89,2,Arabic,1,183,0.01976621523499489,True
selection,0089_3.jpg,89,3,English,0,128,0.026509419083595276,True
selection,0089_4.jpg,89,4,English,1,231,0.024499294348061085,True
selection,0091_1.jpg,91,1,Arabic,0,154,0.024907298386096954,True
selection,0091_2.jpg,91,2,Arabic,1,271,0.01741299405694008,True
selection,0091_3.jpg,91,3,English,0,118,0.02426067553460598,True
selection,0091_4.jpg,91,4,English,1,268,0.017878971062600613,True
selection,0093_1.jpg,93,1,Arabic,0,152,0.02383831236511469,True
selection,0093_2.jpg,93,2,Arabic,1,235,0.02412313222885132,True
selection,0093_3.jpg,93,3,English,0,140,0.026824629865586758,True
selection,0093_4.jpg,93,4,English,1,297,0.02427727822214365,True
selection,0106_1.jpg,106,1,Arabic,0,146,0.02916132379323244,True
selection,0106_2.jpg,106,2,Arabic,1,212,0.032506588846445084,True
selection,0106_3.jpg,106,3,English,0,131,0.036268170922994614,True
selection,0106_4.jpg,106,4,English,1,213,0.03912111558020115,True
selection,0109_1.jpg,109,1,Arabic,0,133,0.016000229865312576,True
selection,0109_2.jpg,109,2,Arabic,1,200,0.021291427314281464,True
selection,0109_3.jpg,109,3,English,0,146,0.022156632505357265,True
selection,0109_4.jpg,109,4,English,1,243,0.02192262653261423,True
selection,0114_1.jpg,114,1,Arabic,0,132,0.013581082690507174,True
selection,0114_2.jpg,114,2,Arabic,1,209,0.014876543544232845,True
selection,0114_3.jpg,114,3,English,0,124,0.015426736790686846,True
selection,0114_4.jpg,114,4,English,1,224,0.02290729247033596,True
selection,0130_1.jpg,130,1,Arabic,0,166,0.019332194700837135,True
selection,0130_2.jpg,130,2,Arabic,1,252,0.02187241706997156,True
selection,0130_3.jpg,130,3,English,0,157,0.02176726795732975,True
selection,0130_4.jpg,130,4,English,1,308,0.023856469430029392,True
selection,0132_1.jpg,132,1,Arabic,0,150,0.02234263624995947,True
selection,0132_2.jpg,132,2,Arabic,1,251,0.01613102201372385,True
selection,0132_3.jpg,132,3,English,0,133,0.0360347218811512,True
selection,0132_4.jpg,132,4,English,1,298,0.025784487836062908,True
selection,0148_1.jpg,148,1,Arabic,0,137,0.01708899810910225,True
selection,0148_2.jpg,148,2,Arabic,1,342,0.02159264776855707,True
selection,0148_3.jpg,148,3,English,0,136,0.032831817865371704,True
selection,0148_4.jpg,148,4,English,1,388,0.02827263530343771,True
selection,0154_1.jpg,154,1,Arabic,0,171,0.023992360569536686,True
selection,0154_2.jpg,154,2,Arabic,1,229,0.028464648872613907,True
selection,0154_3.jpg,154,3,English,0,134,0.014737822581082582,True
selection,0154_4.jpg,154,4,English,1,249,0.015316836070269346,True
selection,0161_1.jpg,161,1,Arabic,0,143,0.020750591531395912,True
selection,0161_2.jpg,161,2,Arabic,1,242,0.017843038775026798,True
selection,0161_3.jpg,161,3,English,0,139,0.022385260090231895,True
selection,0161_4.jpg,161,4,English,1,305,0.024030928499996662,True
selection,0200_1.jpg,200,1,Arabic,0,2,0.17963355407118797,False
selection,0200_2.jpg,200,2,Arabic,1,172,0.02760918904095888,True
selection,0200_3.jpg,200,3,English,0,124,0.02802896872162819,True
selection,0200_4.jpg,200,4,English,1,202,0.022945933043956757,True
selection,0204_1.jpg,204,1,Arabic,0,158,0.013472180813550949,True
selection,0204_2.jpg,204,2,Arabic,1,235,0.019871319644153118,True
selection,0204_3.jpg,204,3,English,0,102,0.02140977419912815,True
selection,0204_4.jpg,204,4,English,1,227,0.022758034989237785,True
selection,0216_1.jpg,216,1,Arabic,0,137,0.011625858955085278,True
selection,0216_2.jpg,216,2,Arabic,1,280,0.012064372189342976,True
selection,0216_3.jpg,216,3,English,0,122,0.030542326159775257,True
selection,0216_4.jpg,216,4,English,1,268,0.018941438756883144,True
selection,0219_1.jpg,219,1,Arabic,0,160,0.015703197568655014,True
selection,0219_2.jpg,219,2,Arabic,1,286,0.02621290646493435,True
selection,0219_3.jpg,219,3,English,0,115,0.025261366739869118,True
selection,0219_4.jpg,219,4,English,1,284,0.023445327766239643,True
selection,0224_1.jpg,224,1,Arabic,0,143,0.020042437128722668,True
selection,0224_2.jpg,224,2,Arabic,1,344,0.024560741148889065,True
selection,0224_3.jpg,224,3,English,0,147,0.030797502025961876,True
selection,0224_4.jpg,224,4,English,1,311,0.02280472032725811,True
selection,0237_1.jpg,237,1,Arabic,0,144,0.024988945573568344,True
selection,0237_2.jpg,237,2,Arabic,1,183,0.020122721791267395,True
selection,0237_3.jpg,237,3,English,0,133,0.03145029488950968,True
selection,0237_4.jpg,237,4,English,1,306,0.02147919312119484,True
selection,0239_1.jpg,239,1,Arabic,0,172,0.016869320534169674,True
selection,0239_2.jpg,239,2,Arabic,1,219,0.023155614733695984,True
selection,0239_3.jpg,239,3,English,0,131,0.020869833417236805,True
selection,0239_4.jpg,239,4,English,1,229,0.017917797900736332,True
selection,0248_1.jpg,248,1,Arabic,0,136,0.020086420699954033,True
selection,0248_2.jpg,248,2,Arabic,1,244,0.02099597454071045,True
selection,0248_3.jpg,248,3,English,0,173,0.025502629578113556,True
selection,0248_4.jpg,248,4,English,1,230,0.022833124734461308,True
selection,0266_1.jpg,266,1,Arabic,0,159,0.018265153281390667,True
selection,0266_2.jpg,266,2,Arabic,1,265,0.021062766201794147,True
selection,0266_3.jpg,266,3,English,0,136,0.01936815120279789,True
selection,0266_4.jpg,266,4,English,1,294,0.0171887269243598,True
selection,0271_1.jpg,271,1,Arabic,0,134,0.025217298418283463,True
selection,0271_2.jpg,271,2,Arabic,1,177,0.02857248019427061,True
selection,0271_3.jpg,271,3,English,0,128,0.03160943370312452,True
selection,0271_4.jpg,271,4,English,1,266,0.03017088957130909,True
selection,0279_1.jpg,279,1,Arabic,0,165,0.01868464983999729,True
selection,0279_2.jpg,279,2,Arabic,1,264,0.021320722065865993,True
selection,0279_3.jpg,279,3,English,0,123,0.020127911120653152,True
selection,0279_4.jpg,279,4,English,1,311,0.0249544745311141,True
selection,0282_1.jpg,282,1,Arabic,0,131,0.012750157155096531,True
selection,0282_2.jpg,282,2,Arabic,1,234,0.014772890601307154,True
selection,0282_3.jpg,282,3,English,0,143,0.01347360759973526,True
selection,0282_4.jpg,282,4,English,1,260,0.05280971713364124,True
